,Reg number,Museum number,url,subject,query,Object type,Title,Type 1,Type 2,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Find|ProductionLocation,Toponym,"lat,lng",Production place - comment,Find spot 2,Find spot - comments,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Add ids,Cat no,Banknote serial number,Joined objects,Image
0,"19,930,403.90","19,930,403.90",https://www.britishmuseum.org/collection/object/W_1993-0403-9,armenian,armenia,arrow-head,,weapon,archaeology,,,"Copper alloy arrow-head with flat, spade-shaped blade and prominent mid-rib; long rod-like tang; corroded.",,,,,,,Iron Age,,Found/Acquired,Republic of Armenia,"40.25,45",,Armenia,(?),copper alloy,,,,Length: 11.83 centimetres; Weight: 16.80 grains; Width: 2.88 centimetres max.,,,Curtis & Kruszynski 2002a / Ancient Caucasian and Related Material in The British Museum,Not on display,,Fair; corroded.,,,,,,Purchased from: Sotheby's,,,,1993,Purchased on 11th December 1992 as Lot 317.,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/14_16/2bcd6d20_4e5b_4383_8694_a3c40116c4e5/preview_00878904_001.jpg
1,"19,930,403.10","19,930,403.10",https://www.britishmuseum.org/collection/object/W_1993-0403-10,armenian,armenia,arrow-head,,weapon,archaeology,,,"Copper alloy arrow-head with flat, spade-shaped blade and prominent mid-rib; long, rod-like tang; corroded and chipped at one side.",,,,,,,Iron Age,,Found/Acquired,Republic of Armenia,"40.25,45",,Armenia,(?),copper alloy,,,,Length: 10.55 centimetres max. ; Weight: 18.20 grains; Width: 3.05 centimetres max.,,,Curtis & Kruszynski 2002a / Ancient Caucasian and Related Material in The British Museum,Not on display,,Fair; corroded and chipped at one side.,,,,,,Purchased from: Sotheby's,,,,1993,Purchased on 11th December 1992 as Lot 317.,,Middle East,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/14_16/5ba57577_3b7a_4837_b3cd_a3c4011690cf/preview_00878874_001.jpg
2,N.1604,92818,https://www.britishmuseum.org/collection/object/W_N-1604,armenian,armenia,aryballos,,ceramics,archaeology,,,"Pottery aryballos; mould-made; two handles; neck broken off; ornamented at both sides with a star, the centre of which is two concentric circles coloured with red at the upper part; design partly obscured by calcretion (?).",,,,,,,,,,,,,Kouyunjik,,pottery,,,mould-made,Length: 12.70 centimetres; Width: 11.43 centimetres,,,"Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert",Not on display,,Incomplete; neck broken off; design partly obscured by calcretion (?).,planet/constellation,,,,,,,,,,,,Middle East,92818,,,,,
3,"18,510,101.12",92025,https://www.britishmuseum.org/collection/object/W_1851-0101-12,armenian,armenia,aryballos; flask,,ceramics,archaeology,,,"Blue glazed, lentoid, pottery pilgrim flask or aryballos with two handles; presumably moulded; yellow clay; exterior and upper rim interior covered with blue glaze, partly iridescent and deacyed to brownish colour; glaze now patchy; tripod stilt scars on both sides (L 3.5 cm.), implying that it was stacked horizontally during firing.",,,,,,,Parthian,,Excavated/Findspot,Am Warkā,"14.00302,45.9807",,Warka,,pottery,,,glazed; mould-made (?),"Diameter: 10.50 centimetres body ; Diameter: 3.10 centimetres rim, exterior ; Diameter: 2.30 centimetres rim, interior ; Height: 13.20 centimetres; Thickness: 3.50 centimetres; Volume: 1030 millilitres",,,"Layard A H 1853a / Discoveries in the ruins of Nineveh and Babylon, with travels in Armenia, Kurdistan and the desert",On display (G1/wp70/sh5),"Exhibited:
Enlightenment gallery, from Nov 2003",Fair; glaze worn away in patches.,,,,,,,,,,1851 (?),,,Middle East,92025,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_11/7_17/14b456c2_3cd0_4a05_9d9a_a3dc011ea100/preview_01305941_001.jpg
4,"19,800,726.10",138199,https://www.britishmuseum.org/collection/object/W_1980-0726-1,armenian,armenia,axe,,weapon,archaeology,,,Bronze axe-head with a crescentic blade and a knob on the socket.,,,,,,,,1400BC-700BC,Excavated/Findspot,Republic of Armenia,"40.25,45",,Armenia,,copper alloy,,,,Length: 15.50 centimetres; Width: 10 centimetres,,,,Not on display,,,sun/moon,,,,,Purchased from: Dr Zeer Zeitlin,,,,1980,,,Middle East,138199,,,,,https://media.britishmuseum.org/media/Repository/Documents/2014_9/29_17/c426554f_1645_4e94_b9d6_a3b5011a45ea/preview_00147690_001.jpg
5,"20,040,910.10","20,040,910.10",https://www.britishmuseum.org/collection/object/C_2004-0910-1,armenian,armenia,badge,,ephemera,,,,"Circular stamped painted badge, made of metal.; White background with black border; central symbol in red and gold.",,,,Hotel Erebuni,,,,2004,Made in,Republic of Armenia,"40.25,45",,,,metal,,type series: Att 2,stamped,Diameter: 27 millimetres,Inscription type: inscription Inscription position: obverse Inscription quoted: HOTEL EREBUNI,,,Not on display,,,advertising,Named in inscription: Hotel Erebuni,,,,Donated by: Dick Vigers,,,,2004,,,Coins and Medals,,Miscellaneous number: DH 20 (temporary number),,,,
6,CIB.53521,CIB.53521,https://www.britishmuseum.org/collection/object/C_CIB-53521,armenian,armenia,banknote,,money,,250 ruble,,Banknote.,,,Republic of Armenia,Government of Armenia,,,,1919,Issued in|Associated with,Republic of Armenia|Republic of Armenia,"40.25,45|45",,,,paper,,,,Height: 95 millimetres; Width: 159 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,Previous owner/ex-collection: Frederick Ernest Catling,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,U114862,,
7,"19,810,129.80","19,810,129.80",https://www.britishmuseum.org/collection/object/C_1981-0129-8,armenian,armenia,banknote,,money,,50 ruble,,Banknote (fifty rubles).,,,,Government of Armenia,,,,1919,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 125.000 millimetres; Width: 80.000 millimetres,,,,Not on display,,,,,,,,,,,,1981,,,Coins and Medals,,,,"U,237262",,
8,"19,940,407.60","19,940,407.60",https://www.britishmuseum.org/collection/object/C_1994-0407-6,armenian,armenia,banknote; specimen,,money,,10 dram,,"Banknote (ten).
Specimen.",,,,Government of Armenia,,,,1993,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 125.000 millimetres; Width: 62.000 millimetres,,,,Not on display,,,,,,,,,,,,1994,,,Coins and Medals,,,,21199298,,
9,"19,940,407.30","19,940,407.30",https://www.britishmuseum.org/collection/object/C_1994-0407-3,armenian,armenia,banknote; specimen,,money,,100 dram,,"Banknote (100 drams)
Specimen.",,,,Government of Armenia,,,,1993,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 135.000 millimetres; Width: 65.000 millimetres,,,,Not on display,,,,,,,,,,,,1994,,,Coins and Medals,,,,189903,,
