,_ - search_key,_ - eng_search_key,Class,_ - url,Comments on relevance,Название|Title,Type 1,Type 2,_ - Номер ГИМ|Museum internal ID,Отдел/коллекция|Department/collection,Инвентарный номер|Inventory Number,Датировка|Date,Размер|Size,"Материал, техника|Material, technique",_ - Номер ГК|State Catalogue Number,Ключевые слова|Keywords,Место создания|Creation Place,Contemporary_Toponyms,fcodeName,toponymName,lat,long,Country,geonames 3,"Автор, мастер/Изготовитель|Author,Creator'",_ - Шифр ОПИ|The Writtern Sources Dept Code,Комплект|Set,Место находки|Place of Discovery,Формат|Format,"Лист, страницы|Sheet,Pages",_ - Археологический памятник|Archeological site,Персоналии|Persons,Многотомное издание: автор|Author of a multi-volume edition,Многотомное издание: Название|Title,_ - Экспозиция|Exposition,Выставки|Exhibitions,_ - Альбомы|Albums,Аннотация|Annotation,Start Year,End Year,Creation Place,coordinate location (wikipedia),Location Certainty,"Автор, мастер/Изготовитель|Author,Creator",_ - Экспозиция,Предметный классификатор|Subject Classifier,Язык|Language,Многотомное издание: автор|Author,_ - Номер ГИМ,_ - Номер ГК,_ - Шифр ОПИ
0,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/84468?page=14&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=655,,Бутылка для коньяка,glass,spirits,ГИМ 102346/301,Керамика и стекло/Стекло,6001 ст,1972 год,"Высота с пробкой: 18,5 см","Бесцветное стекло, бумага, металл, прессовыдувание, типографская печать, штамповка",19682378.0,металл стекло бесцветное стекло прессовыдувание типографская печать,"СССР, Армянская ССР",Армения,independent political entity,Republic of Armenia,40.25,45.0,Armenia,"country, state, region,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/84469?page=14&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=656,,Бутылка для коньяка,glass,spirits,ГИМ 102346/302,Керамика и стекло/Стекло,6002 ст,1972,Высота с пробкой: 41 см,"Бесцветное стекло, бумага, металл, прессовыдувание, типографская печать, штамповка",19682398.0,металл бесцветное стекло стекло прессовыдувание типографская печать,"СССР, Армянская ССР",Армения,independent political entity,Republic of Armenia,40.25,45.0,Armenia,"country, state, region,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/85283?page=13&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=600,,Бутылка «Коньяк Арарат отборный»,glass,spirits,ГИМ 109814/18,Керамика и стекло/Стекло,6816 ст,1990 г.,Высота: 34 см,"Бесцветный хрусталь, бумага, выдувание, гравировка, типографская печать",19682351.0,гравировка бесцветный хрусталь хрусталь выдувание типографская печать,Армянская ССР,Армения,independent political entity,Republic of Armenia,40.25,45.0,Armenia,"country, state, region,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/114939?page=12&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=594,,Икона. Николай Чудотворец,painting,religious,ГИМ 103794/674,Древнерусская живопись/Иконопись Покровского собора,ПС 1-647/1,XV в.(?),101х77 см,"Дерево, левкас, темпера",28910001.0,дерево левкас темпера,Новгород,Новгород,seat of a first-order administrative division,Nizhniy Novgorod,56.32867,44.00205,Russia,"city, village,...",,,,,,,,,,,Покровский собор иконопись. Церковь Григория Армянского,,,,,,,,,,,,,,,,
4,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/114965?page=12&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=596,,Икона. Благоразумный разбойник Рах,painting,religious,ГИМ 103794/700,Древнерусская живопись/Иконопись Покровского собора,ПС 1-671,XVII в.,161х53 см,"Дерево, левкас, темпера",25943725.0,дерево левкас темпера,Центральная Россия,Центральная Россия,hill,Gora Tsentral’naya,42.98806,131.84861,Russia,"mountain,hill,rock,...",,,,,,,,,,,Покровский собор иконопись. Церковь Григория Армянского,,,,,,,,,,,,,,,,
5,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/133895?page=6&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=288,,Обозрение истории армянского народа от начала бытия его до возрождения области Армянской в Российской империи. Сочинение Сергея Глинки. Ч. 1-2.,book,historical,ГИМ 105190/205,Книжный фонд/Книги первой половины XIX в. 1801-1860.,МФ/2-205,1832-1833,"21,3х13,3х5,5 см",,14538178.0,Москва,Москва,Москва,capital of a political entity,Moscow,55.75222,37.61556,Russia,"city, village,...",Глинка Сергей Николаевич (1776-1847),,,,,,,,,,,,,,,,,,,,,,,,,,
6,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136406?page=11&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=522,,"Нестационарные звезды : Совещание, имевшее место в Бюракане 20-22 сент. 1956 г. [Доклады и выступления ] / Академия наук Армянской ССР.",conference programme,scientific,ГИМ 99528/7,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-341,1957,"22,7х14,7х1,2 см",,17023451.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136407?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=130,,Сообщения Бюроканской обсерватории. Вып. 35,research papers,scientific,ГИМ 99528/8,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-342,1964,"25,5х17х0,8 см",,17023540.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Академия наук Армянской ССР,,,,,,,,,,,,,,,,,,,,,,,,,,
8,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136411?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=131,,Сообщения Бюраканской обсерватории : Вып. 1,research papers,scientific,ГИМ 99528/40,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-343,1946,"25,3х17х0,5 см",,30254953.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Академия наук Армянской ССР,,,,,,,,,,,,,,,,,,,,,,,,,,
9,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136414?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=142,,"Доклады : Т. 1, 1944 : Вып. 1-2",research papers,scientific,ГИМ 99528/12,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-346,1944,"25х16,2х0,5 см",,17023578.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Академия наук Армянской ССР,,,,,,,,,,,,,,,,,,,,,,,,,,
10,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136415?page=4&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=178,,"Известия. Серия физико-математических, естественных и технических наук : Том 8, вып. 4",research papers,scientific,ГИМ 99528/13,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-347,1955,"25,5х17х0,7 см",,17023591.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Академия наук Армянской ССР,,,,,,,,,,,,,,,,,,,,,,,,,,
11,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136416?page=4&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=156,,"Известия. Серия физико-математических наук. Том 15, вып. 2",research papers,scientific,ГИМ 99528/14,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-348,1962,"25,5х17х1,2 см",,17023577.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Академия наук Армянской ССР,,,,,,,,,,,,,,,,,,,,,,,,,,
12,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136417?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=143,,"Известия. Биологические науки : Том 18, Вып. 4",research papers,scientific,ГИМ 99528/15,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-349,1965,"25,5х16,6х0,6 см",,17023587.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Академия наук Армянской ССР,,,,,,,,,,,,,,,,,,,,,,,,,,
13,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136418?page=6&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=253,,"Историко-филологический журнал / Академия наук Армянской ССР.  1958, № 1",research papers,scientific,ГИМ 99528/16,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-350,1958,"25,4х16,5х1,6 см",,17023455.0,журнал Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/136658?page=4&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=151,,"Астрофизика /  АН Армянской ССР. 1965, № 1",research papers,scientific,ГИМ 99528/29,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-363,1965,"14,3х17х0,8 см",,17023596.0,Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,армянский,Armenian (adjective),Armenian,https://catalog.shm.ru/entity/OBJECT/137104?page=3&query=%D0%B0%D1%80%D0%BC%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&index=144,,[Ленин : Поэма ] На армянском яз.,translated from Russian,political,ГИМ 98843/386,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-277,1957,"20,8х13,3х1,5 см",,17194281.0,поэма Ереван,Ереван,Ереван,capital of a political entity,Yerevan,40.18111,44.51361,Armenia,"city, village,...",Рза Расул,,,,,,,,,,,,,,,,,,,,,,,,,,
