,search_term,_ - eng_search_key,Class,_ - url,_ - Название,Comment on relevancs,_ - Номер ГИМ,_ - Отдел/коллекция,_ - Инвентарный номер,_ - Датировка,_ - Размер,"_ - Материал, техника",_ - Номер ГК,_ - Ключевые слова,_ - Место создания,Contemporary_Toponyms,fcodeName,toponymName,coordinates,lat,long,Country,geonames 3,"_ - Автор, мастер/Изготовитель",_ - Шифр ОПИ,_ - Комплект,_ - Место находки,_ - Формат,"_ - Лист, страницы",_ - Археологический памятник,_ - Персоналии,_ - Многотомное издание: автор,_ - Многотомное издание: Название,_ - Экспозиция,_ - Выставки,_ - Альбомы,_ - Аннотация
0,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/88274?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=25,Чашка «Еврей с часами»,,ГИМ 50796,Керамика и стекло/Фарфор,83/1 фф,Первая половина XIX в.,Ширина: 12 см; Диаметр - 11 см,,3054837.0,,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",Завод Гарднера,,,,,,,,,,,,,
1,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/97053?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=123,Скульптура еврея на отъёмном постаменте,,ГИМ 58442/213,Керамика и стекло/Фарфор,7629 фф,1908 г.,"Высота фигуры: 29,8 см; размеры основания: 8,7х8,7 см; высота постамента: 7 см; размеры основания постамента: 11,2х11,2 см",Фарфор,26760928.0,фарфор Германия Берлин,"Германия, г. Берлин","Германия, Берлин",capital of a political entity,Berlin,"52.52437,13.41053",52.52437,13.41053,Germany,"city, village,...","Майер Ф.Э., Friedrich Elias Meyer (1724-1785), автор модели. Берлинская королевская фарфоровая мануфактура",,Настольное украшение десертного сервиза императрицы Екатерины II,,,,,,,,,,,
2,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/112405?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=231,Картина. Демонстрация.,,ГИМ 112831/13,Собрание фондов музея В.И.Ленина/Живопись,ФМЛ К-431,1986,"60х90 см (без рамы); 80х108,5 см (в раме)","Холст, масло",6844497.0,масло,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...","Книспель, Г.",,,,,,,,,,,,,
3,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/130018?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=128,Гонение на евреев - гонение на самих себя!,,ГИМ 109478/31,Книжный фонд/Книги 1918-1941 гг.,МФ/4-521,1919,"18,5х12,2х0,2 см",,8255319.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Дивильковский А.,,,,,,,,,,,,,
4,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/130427?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=58,"Евреи, классовая борьба и погромы",,ГИМ 109478/28,Книжный фонд/Книги 1918-1941 гг.,МФ/4-518,1918,"19,3х13,8х0,3 см",,8255380.0,,Петроград,Петроград,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",,,,,,,,,,,,,,
5,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/130659?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=81,К еврейскому вопросу /  Пер. под ред. А. Луначарского,,ГИМ 105191/509,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ/3-509,1906,"21х14,6х0,2 см",,14537557.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Маркс К.,,,,,,,,,,,,,
6,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/130711?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=227,"Послание святаго апостола Павла к евреем с изтолкованием, Которое 1785 года публично преподавал Ростовскаго Борисо-Глебскаго монастыря Архимандрит и Ярославской Семинарии Богословии Учитель Ириней в Ярославле",,ГИМ 108528/1,Книжный фонд/Книги XVIII в.,МФ/1-228,1787,"21,4х13х3,3 см",,11667416.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Ириней (Клементьевский Иван Андреевич), (1753-1818)",,,,,,,,,,,,,
7,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/131007?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=226,"Полный хронологический сборник законов и положений, касающихся евреев, от Уложения царя Алексея Михаиловича до настоящего времени, от 1649-1873 г /  Сост. и издал В. О. Леванд",,ГИМ 105752/235,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ/3-1608,1874,"24,1х15,7х6,4 см",,12948911.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Леванда В. О.,,,,,,,,,,,,,
8,древнееврейский,"old jewish, hebrew (language)",Jewish,https://catalog.shm.ru/entity/OBJECT/131354?query=%D0%B4%D1%80%D0%B5%D0%B2%D0%BD%D0%B5%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=2,Песнь песней Соломона /  Пер. с древнееврейского и примеч. А. Эфроса ; Предисл. В. Розанова,,ГИМ 105191/674,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ/3-674,1909,"25х19,8х2 см",,14537603.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",,,,,,,,,,,,,,
9,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/132043?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=144,Распутин и евреи : Воспоминания личного секретаря Григория Распутина,,ГИМ 109400/2,Книжный фонд/Книги 1918-1941 гг.,МФ-1809,Б.г.,"18,9х13,5х1 см",,8343240.0,Рига,Рига,Рига,capital of a political entity,Riga,"56.946,24.10589",56.946,24.10589,Latvia,"city, village,...",Симанович А.,,,,,,,,,,,,,
